SKU,Retail Price ,Wholesale Price,UPC,Quantity,Item Size,Name,URL,Brand,Product Category,Item Type
204105,20,8,3607344250220,20,.25 OZ,CELINE DION CHIC by Celine Dion,https://www.fragrancenet.com/celine-dion-chic-perfume/celine-dion/womens-fragrances/wf/en_US/20588,CELINE DION CHIC,Fragrance,Fragrances
205534,12.6,5.25,4011700415502,13,6.8 OZ,TABAC ORIGINAL by Maurer & Wirtz,https://www.fragrancenet.com/tabac-original-cologne/maurer-%26-wirtz/mens-fragrances/mf/en_US/02258,TABAC ORIGINAL,Fragrance,Bath & Body
206134,8,4.25,,3,1.7 OZ,RALPH ROCKS by Ralph Lauren,https://www.fragrancenet.com/ralph-rocks-perfume/ralph-lauren/womens-fragrances/wf/en_US/13848,RALPH ROCKS,Fragrance,Bath & Body
206402,27,20.99,895361002424,17,4 OZ,LIVING PROOF by Living Proof,https://www.fragrancenet.com/living-proof-shampoo/living-proof/hair-care-products/hc/en_US/21833,LIVING PROOF,Haircare,Conditioner
297636,90,29.5,3386460073875,24,2 OZ,JIMMY CHOO L'EAU by Jimmy Choo,https://www.fragrancenet.com/jimmy-choo-l%27eau-perfume/jimmy-choo/womens-fragrances/wf/en_US/30103,JIMMY CHOO L'EAU,Fragrance,Fragrances
297750,77,33.5,3423473032793,24,0.84 OZ,D & G LIGHT BLUE EAU INTENSE by Dolce & Gabbana,https://www.fragrancenet.com/d-%26-g-light-blue-eau-intense-perfume/dolce-%26-gabbana/womens-fragrances/wf/en_US/29901,D & G LIGHT BLUE EAU INTENSE,Fragrance,Fragrances
297793,22.5,14.69,74469523288,24,9 OZ,JOICO by Joico,https://www.fragrancenet.com/joico-shampoo/joico/hair-care-products/hc/en_US/02976,JOICO,Haircare,Styling
298043,70,22.5,7640171190051,2,3.4 OZ,BENTLEY INFINITE RUSH by Bentley,https://www.fragrancenet.com/bentley-infinite-rush-cologne/bentley/mens-fragrances/mf/en_US/28403,BENTLEY INFINITE RUSH,Fragrance,Fragrances
298104,55,37,8005610266435,24,1.5 OZ,LACOSTE EAU DE LACOSTE L.12.12 POUR ELLE MAGNETIC by Lacoste,https://www.fragrancenet.com/lacoste-eau-de-lacoste-l.12.12-pour-elle-magnetic-perfume/lacoste/womens-fragrances/wf/en_US/29803,LACOSTE EAU DE LACOSTE L.12.12 POUR ELLE MAGNETIC,Fragrance,Fragrances
298193,108,96.5,7640233340837,4,3.3 OZ,ELIE SAAB ESSENCE NO 4 OUD by Elie Saab,https://www.fragrancenet.com/elie-saab-essence-no-4-oud-fragrance/elie-saab/womens-fragrances/wf/en_US/31245,ELIE SAAB ESSENCE NO 4 OUD,Fragrance,Fragrances
298379,89,67.5,3365440316546,24,2 OZ,L'HOMME YVES SAINT LAURENT by Yves Saint Laurent,https://www.fragrancenet.com/l%27homme-yves-saint-laurent-cologne/yves-saint-laurent/mens-fragrances/mf/en_US/11398,L'HOMME YVES SAINT LAURENT,Fragrance,Fragrances
298447,45,15,3516640725328,4,2.5 OZ,FRANCK OLIVIER PASSION EXTREME by Franck Olivier,https://www.fragrancenet.com/franck-olivier-passion-extreme-perfume/franck-olivier/womens-fragrances/wf/en_US/30216,FRANCK OLIVIER PASSION EXTREME,Fragrance,Fragrances
298461,295,191,3700458602999,24,2.5 OZ,MEMO PARIS AFRICAN LEATHER by Memo Paris,https://www.fragrancenet.com/memo-paris-african-leather-fragrance/memo-paris/womens-fragrances/wf/en_US/30219,MEMO PARIS AFRICAN LEATHER,Fragrance,Fragrances
298579,77.25,48.5,8011003827336,24,1.7 OZ,VERSACE EROS POUR FEMME by Gianni Versace,https://www.fragrancenet.com/versace-eros-pour-femme-perfume/gianni-versace/womens-fragrances/wf/en_US/25170,VERSACE EROS POUR FEMME,Fragrance,Fragrances
298847,65,8,3607343562249,24,3.4 OZ,JIL SANDER SUNBATH by Jil Sander,https://www.fragrancenet.com/jil-sander-sunbath-perfume/jil-sander/womens-fragrances/wf/en_US/25006,JIL SANDER SUNBATH,Fragrance,Fragrances
298972,7.25,7.25,3508440501066,24,0.1 OZ,CREED HIMALAYA by Creed,https://www.fragrancenet.com/creed-himalaya-cologne/creed/mens-fragrances/mf/en_US/02990,CREED HIMALAYA,Fragrance,Fragrances
206777,98,39.5,3386460064118,24,3.3 OZ,JIMMY CHOO by Jimmy Choo,https://www.fragrancenet.com/jimmy-choo-cologne/jimmy-choo/mens-fragrances/mf/en_US/21923,JIMMY CHOO,Fragrance,Fragrances
207713,65,22,844061004139,6,3.4 OZ,PERRY ELLIS 18 SENSUAL by Perry Ellis,https://www.fragrancenet.com/perry-ellis-18-sensual-perfume/perry-ellis/womens-fragrances/wf/en_US/21962,PERRY ELLIS 18 SENSUAL,Fragrance,Fragrances
209360,102,72,362032050522,24,1 OZ,Obagi by Obagi,https://www.fragrancenet.com/obagi-skin-care/anti-aging/obagi/facial/sc/en_US/22178,Obagi,Skincare,Day Care
211057,45,11.5,3331431581408,2,6.8 OZ,WATT BLACK by Cofinluxe,https://www.fragrancenet.com/watt-black-cologne/cofinluxe/mens-fragrances/mf/en_US/22162,WATT BLACK,Fragrance,Fragrances
211107,25,4.5,5425017736288,7,1.17 OZ,CUBA HEARTBREAKER by Cuba,https://www.fragrancenet.com/cuba-heartbreaker-perfume/cuba/womens-fragrances/wf/en_US/21743,CUBA HEARTBREAKER,Fragrance,Fragrances
211907,34,12.5,697045150212,24,12.3 OZ,Ahava by Ahava,https://www.fragrancenet.com/ahava-skin-care/anti-aging/ahava/facial/sc/en_US/08503,Ahava,Skincare,Body Care
212032,22,11.19,615908416374,4,9.2 OZ,CATWALK by Tigi,https://www.fragrancenet.com/catwalk-shampoo/tigi/hair-care-products/hc/en_US/04562,CATWALK,Haircare,Styling
